Timestep,Node_0
0,24213.212680000000546
1,22950.234519999994518
2,22129.655320000016218
3,21595.281409999981406
4,21316.281179999990854
5,21701.05645999999615
6,22863.775729999964824
7,25064.482290000018111
8,27907.911989999982325
9,31114.281230000011419
10,33570.662859999967623
11,36328.845399999911024
12,37609.978119999941555
13,37529.12271999996301
14,38880.136669999978039
15,39964.616510000028939
16,39457.481060000020079
17,38205.734860000047775
18,36704.164920000024722
19,34300.427649999968708
20,32502.345669999962411
21,30672.169839999998658
22,30351.059289999979228
23,29064.155669999978272
