Timestep,Node_0
0,44.00471464000247579
1,44.00471464000247579
2,44.00471464000247579
3,44.00471464000247579
4,44.00471464000247579
5,44.00471464000247579
6,44.00471464000247579
7,44.00471464000247579
8,38.108082878242143465
9,38.108082878242143465
10,14.839402023348103654
11,14.824833333333332419
12,14.82691666666666741
13,14.825991526908699925
14,14.82691666666666741
15,14.824833333333332419
16,38.108082878242143465
17,38.108082878242143465
18,44.00471464000247579
19,44.00471464000247579
20,44.00471464000247579
21,44.00471464000247579
22,44.00471464000247579
23,44.00471464000247579
