Timestep,Node_0
0,21576.004210000002786
1,20620.003939999958675
2,20024.003630000002886
3,19752.003759999995964
4,19944.003699999993842
5,21380.004079999998794
6,24996.00465000000986
7,29288.005409999994299
8,30448.005719999953726
9,30608.00561999995989
10,30252.005559999994148
11,30228.005650000024616
12,29968.005760000000009
13,30024.005479999999807
14,30052.005590000026132
15,29548.005560000066907
16,30220.005550000023504
17,31640.006020000022545
18,32492.005980000009004
19,33122.119519999949262
20,33305.139100000007602
21,30417.911900000024616
22,27178.079140000016196
23,25315.073030000006838
